År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
1990,0,403,70,23,26,93,522,615
1991,0,392,70,23,26,81,511,593
1992,0,373,70,8,26,86,477,563
1993,0,337,79,11,26,96,454,550
1994,0,323,65,25,26,93,439,533
1995,0,319,76,19,26,95,440,536
1996,0,293,75,16,26,60,410,470
1997,0,289,77,24,26,68,416,484
1998,0,285,67,36,26,70,414,483
1999,0,280,56,22,26,73,384,457
2000,0,277,41,18,26,78,362,440
2001,0,265,41,20,26,70,352,423
2002,0,250,44,22,26,67,342,409
2003,0,251,52,26,26,64,356,419
2004,0,241,43,29,26,64,340,404
2005,0,243,40,23,26,65,332,397
2006,0,249,46,20,26,69,341,410
2007,0,235,42,22,26,71,324,395
2008,0,217,45,25,26,75,313,388
2009,0,208,42,27,26,70,303,373
2010,0,208,43,26,26,66,303,369
2011,0,191,44,23,26,70,285,355
2012,0,225,42,26,26,69,320,389
2013,0,266,46,27,25,64,364,428
2014,0,268,50,21,30,74,370,444
2015,0,261,56,22,27,69,367,436
2016,0,273,62,18,21,57,374,431
2017,0,267,57,25,24,63,373,437
2018,0,277,38,21,28,71,363,434
2019,0,254,43,14,28,71,338,409
2020,0,263,37,15,32,79,346,426
2021,0,260,31,13,25,65,329,394
2022,0,285,34,10,23,62,353,414
2023,0,205,30,9,33,82,278,360
