År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
2013,60254,5811,3513,126,1688,139721,71392,211114
2014,63296,5806,3486,171,1766,148367,74525,222892
2015,63916,5803,2603,202,1892,146984,74417,221401
2016,64088,5797,2722,275,1528,130556,74411,204967
2017,72447,5808,2454,318,2047,168328,83074,251403
2018,68949,5792,2704,231,1600,133456,79276,212732
2019,73751,5789,3219,157,1837,147556,84753,232309
2020,82407,5791,2898,472,2698,200843,94267,295110
2021,86301,5784,2636,395,1823,148259,96939,245197
2022,84537,5786,2506,1725,2400,186075,96954,283028
2023,88727,5785,2745,487,1963,151515,99707,251222
