År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
1990,31,1,31,0,3,152,66,218
1991,28,1,31,0,3,151,63,214
1992,25,1,31,0,3,175,59,234
1993,33,1,36,0,3,163,73,236
1994,24,1,54,0,3,131,82,213
1995,34,1,63,0,3,155,101,255
1996,33,1,65,0,3,103,101,204
1997,62,1,65,0,3,105,131,236
1998,94,1,58,0,3,93,156,249
1999,99,1,56,0,3,87,159,246
2000,151,1,54,0,3,106,210,316
2001,262,2,47,0,3,85,314,399
2002,310,2,48,0,3,91,363,454
2003,358,2,50,0,3,93,413,506
2004,292,2,52,0,3,87,349,436
2005,234,2,46,0,3,99,284,383
2006,253,2,47,0,3,84,305,389
2007,263,2,47,0,3,98,314,411
2008,274,2,46,0,3,84,324,409
2009,428,2,47,0,3,81,479,561
2010,439,2,41,0,3,86,485,570
2011,482,2,45,0,3,93,532,625
2012,619,2,42,0,3,82,666,748
2013,699,4,41,0,6,88,750,837
2014,680,4,40,0,6,89,731,819
2015,653,4,39,0,6,86,702,788
2016,646,4,35,0,6,82,691,773
2017,775,4,38,0,8,113,825,938
2018,726,4,37,0,6,89,773,861
2019,878,4,39,0,6,92,927,1019
2020,907,4,37,0,8,118,957,1075
2021,992,4,36,0,7,94,1039,1133
2022,856,4,34,0,7,110,902,1012
2023,914,4,34,0,6,87,957,1044
