År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
1990,3013,6396,2833,966,257,29154,13465,42619
1991,2798,6396,2833,922,257,23326,13206,36532
1992,2584,6396,2833,736,257,27260,12805,40065
1993,3115,6396,3608,684,257,25353,14061,39414
1994,4581,6396,3246,651,257,22127,15131,37257
1995,5629,6396,4488,641,257,27768,17411,45179
1996,6591,6295,4112,722,257,14367,17978,32345
1997,7791,6295,4074,753,257,21590,19171,40761
1998,8485,6295,3721,699,257,18122,19457,37580
1999,8059,6295,3730,642,257,15333,18983,34316
2000,7958,6295,3405,769,257,18419,18684,37103
2001,6161,11849,2961,639,257,13912,21867,35779
2002,8289,11793,2943,947,257,16393,24229,40621
2003,10574,11799,3007,919,257,15706,26556,42262
2004,10279,11782,2957,827,257,17235,26103,43338
2005,11377,11859,2843,746,257,20079,27082,47162
2006,14635,11879,2935,763,257,15875,30469,46344
2007,15834,11844,3011,905,257,18702,31851,50553
2008,15922,11852,3000,901,257,16632,31933,48565
2009,17992,11837,3080,851,257,17109,34016,51126
2010,18513,11850,3055,1255,257,13414,34930,48344
2011,20032,11900,3054,924,257,19249,36167,55416
2012,22145,11863,3029,784,257,18281,38078,56359
2013,21568,12432,3136,1085,1430,15553,39652,55205
2014,24110,12412,3226,889,1244,13804,41881,55686
2015,23182,12075,3280,948,1717,18248,41203,59451
2016,22077,12033,3348,930,1502,15279,39890,55169
2017,24128,12263,3265,926,1911,20022,42494,62516
2018,25430,12583,3175,1003,1541,15834,43731,59566
2019,26287,12465,3280,1089,1652,16932,44774,61706
2020,28084,12236,3364,1098,2205,21840,46988,68828
2021,29526,12141,3304,898,1571,15945,47440,63385
2022,27956,11924,3351,965,2144,21775,46341,68115
2023,29902,11779,3260,696,1685,16505,47322,63827
