År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
1990,2539,28643,11628,2908,3049,49632,48767,98398
1991,2401,28192,11628,2743,3049,38448,48013,86461
1992,2263,27553,11628,3625,3049,43022,48118,91140
1993,3058,26323,13479,3511,3049,39187,49421,88608
1994,3755,25520,12416,2488,3049,42316,47229,89545
1995,4884,25504,15541,2418,3049,43412,51397,94808
1996,5571,24593,13369,2266,3049,22801,48848,71649
1997,5928,24386,12967,2221,3049,29740,48551,78291
1998,6614,24180,13288,1846,3049,29734,48976,78710
1999,6803,23975,12610,1733,3049,32958,48170,81128
2000,7203,23768,11690,1813,3049,36197,47523,83720
2001,7490,30681,11466,1866,3049,28981,54553,83535
2002,7285,29999,9738,1784,3049,28250,51854,80104
2003,8097,30112,10215,1710,3049,27550,53184,80734
2004,8567,30089,10195,1781,3049,29146,53682,82828
2005,9044,29993,10188,1614,3049,31467,53889,85355
2006,9941,30589,11059,1568,3049,29608,56207,85815
2007,12398,30552,11122,1607,3049,33486,58728,92215
2008,13125,30450,11090,1615,3049,34300,59330,93630
2009,14628,30439,11634,1411,3049,30551,61161,91713
2010,14079,30592,11397,1839,3049,25016,60956,85972
2011,16083,30549,11669,1656,3049,31890,63006,94896
2012,17451,30792,11745,1391,3049,31646,64428,96074
2013,16392,29965,12140,1446,3970,28924,63913,92837
2014,17473,30029,12455,1454,4686,34436,66097,100533
2015,18089,29581,13181,1441,5099,35488,67391,102879
2016,18194,29718,13348,1352,3949,28975,66560,95535
2017,17772,30170,13911,1590,4426,31129,67869,98998
2018,17403,31464,12705,1498,4364,31867,67434,99301
2019,18971,31208,13010,1425,4067,29408,68681,98089
2020,20002,29849,13617,1430,5122,36968,70019,106987
2021,19389,29599,12556,1367,3637,26966,66548,93515
2022,19834,29190,12720,1342,3651,27849,66737,94586
2023,18970,28773,13135,1315,4581,33086,66773,99859
