År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
1990,441,84,196,22,45,441,787,1228
1991,423,84,196,22,45,313,770,1083
1992,406,84,196,22,45,379,753,1132
1993,546,84,223,22,45,305,919,1224
1994,672,84,247,22,45,320,1070,1390
1995,892,84,262,22,45,346,1306,1652
1996,1006,80,209,0,45,131,1340,1471
1997,1061,80,216,0,45,198,1401,1599
1998,1153,80,291,0,45,179,1568,1747
1999,1194,80,275,0,45,203,1593,1796
2000,1226,80,262,0,45,217,1612,1830
2001,1227,166,214,0,45,138,1652,1790
2002,1130,166,277,0,45,166,1618,1784
2003,1295,165,269,1,45,160,1775,1935
2004,1330,165,279,27,45,174,1845,2019
2005,1340,166,293,27,45,229,1871,2099
2006,1696,166,292,25,45,172,2223,2394
2007,1902,166,299,8,45,223,2419,2642
2008,1887,165,296,15,45,197,2407,2604
2009,2081,165,277,19,45,178,2586,2764
2010,2018,165,263,32,45,132,2521,2653
2011,2211,164,278,33,45,203,2730,2934
2012,2411,167,266,40,45,199,2928,3127
2013,2253,178,267,27,114,165,2839,3004
2014,2403,178,280,21,119,185,3001,3186
2015,2473,178,230,20,156,226,3057,3282
2016,2455,178,269,19,125,188,3045,3234
2017,2473,178,277,19,140,198,3086,3284
2018,2353,178,261,19,131,200,2941,3141
2019,2551,177,254,23,107,160,3112,3272
2020,2714,178,278,14,139,218,3323,3541
2021,2553,178,280,19,95,150,3124,3274
2022,2658,178,286,17,116,188,3254,3442
2023,2507,178,263,17,112,175,3077,3252
