År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
2013,0,4109,3639,335,1802,80883,9884,90768
2014,0,4115,3661,456,2266,96065,10498,106563
2015,0,4031,3666,527,2021,87118,10245,97362
2016,0,4173,3600,569,1512,69381,9854,79235
2017,0,4167,3184,553,1559,71351,9462,80813
2018,0,4244,2908,600,1814,81939,9565,91504
2019,0,3987,2950,503,1969,84574,9408,93982
2020,0,4025,2578,551,2218,98476,9373,107849
2021,0,4012,2326,572,1776,78759,8686,87445
2022,0,4206,2402,576,1269,60525,8453,68978
2023,0,3558,2864,455,2367,104515,9244,113759
