År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
1990,0,752,243,86,87,169,1168,1337
1991,0,733,243,99,87,149,1162,1311
1992,0,697,243,67,87,154,1095,1249
1993,0,631,313,92,87,169,1123,1291
1994,0,606,206,93,87,173,992,1165
1995,0,599,275,94,87,175,1055,1230
1996,0,545,262,62,87,108,955,1063
1997,0,538,264,70,87,121,959,1080
1998,0,531,221,96,87,127,935,1062
1999,0,525,191,64,87,134,867,1001
2000,0,519,152,67,87,144,826,970
2001,0,496,161,72,87,137,815,953
2002,0,472,149,63,87,124,770,895
2003,0,475,154,70,87,122,786,908
2004,0,467,139,78,87,124,771,896
2005,0,469,149,75,87,118,780,898
2006,0,479,154,56,87,126,777,903
2007,0,468,142,59,87,132,757,889
2008,0,446,147,66,87,141,746,887
2009,0,431,141,57,87,131,716,847
2010,0,432,144,56,87,124,720,844
2011,0,409,156,53,87,131,704,835
2012,0,465,147,49,87,129,749,878
2013,0,523,149,48,80,125,800,925
2014,0,525,170,30,105,146,831,977
2015,0,513,178,32,97,136,820,956
2016,0,533,171,27,71,111,802,913
2017,0,526,171,34,75,118,806,924
2018,0,540,144,31,85,132,800,932
2019,0,505,160,24,98,136,785,922
2020,0,515,150,25,109,153,800,953
2021,0,512,119,23,85,125,739,864
2022,0,536,122,19,65,109,742,851
2023,0,430,126,17,114,160,687,847
