År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
1990,0,409,1802,109,256,268,2576,2844
1991,0,400,1802,130,256,270,2588,2859
1992,0,388,1802,52,256,242,2498,2740
1993,0,365,2949,45,256,258,3615,3873
1994,0,350,1377,60,256,318,2044,2362
1995,0,350,3240,51,256,311,3896,4207
1996,0,330,2296,80,256,201,2962,3163
1997,0,328,2287,108,256,215,2979,3194
1998,0,326,2101,96,256,237,2779,3016
1999,0,325,2112,118,256,289,2811,3099
2000,0,323,1828,89,256,317,2496,2813
2001,0,312,1451,100,256,281,2120,2401
2002,0,309,1055,76,256,231,1696,1927
2003,0,307,1045,64,256,250,1672,1922
2004,0,305,1183,60,256,240,1804,2044
2005,0,300,1244,60,256,202,1859,2061
2006,0,307,1433,69,256,256,2066,2322
2007,0,306,1358,73,256,249,1994,2243
2008,0,302,1300,95,256,299,1953,2252
2009,0,302,1309,83,256,263,1949,2213
2010,0,304,1300,79,256,228,1940,2168
2011,0,303,1445,91,256,249,2096,2345
2012,0,317,1413,100,256,255,2087,2341
2013,0,308,1484,105,201,210,2098,2308
2014,0,303,1796,102,307,294,2507,2802
2015,0,297,1918,95,294,284,2605,2889
2016,0,302,1897,99,207,215,2506,2721
2017,0,310,1970,106,199,208,2585,2793
2018,0,332,1473,42,214,223,2061,2284
2019,0,327,1571,27,320,308,2245,2553
2020,0,317,1499,27,372,351,2215,2566
2021,0,322,1231,20,277,274,1849,2122
2022,0,313,1119,21,169,184,1621,1806
2023,0,305,1178,33,358,335,1874,2209
