År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
2013,0,7104,9067,8022,3908,190927,28101,219028
2014,0,7152,10549,6287,5112,229210,29100,258310
2015,0,6926,10588,6134,4699,211665,28347,240012
2016,0,7344,9524,5824,3477,167967,26169,194137
2017,0,7160,8892,6482,3655,179665,26189,205853
2018,0,7464,7804,5797,4146,203030,25212,228242
2019,0,6679,8451,5068,4751,211877,24949,236826
2020,0,6885,7893,5283,5332,238944,25393,264337
2021,0,6803,6640,5078,4162,191765,22683,214448
2022,0,7851,6297,4867,3161,164001,22176,186177
2023,0,5413,8193,4093,5536,249774,23236,273010
