År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
1990,0,10991,2703,164,474,7163,14331,21493
1991,0,10757,2703,219,474,6067,14152,20219
1992,0,10427,2703,103,474,6526,13706,20232
1993,0,9794,2698,134,474,7438,13099,20537
1994,0,9380,2677,179,474,7203,12710,19913
1995,0,9368,2781,224,474,7395,12846,20242
1996,0,8957,2854,64,474,4776,12349,17125
1997,0,8845,2695,81,474,5672,12094,17767
1998,0,8733,2736,86,474,5871,12029,17900
1999,0,8622,2619,84,474,6290,11798,18088
2000,0,8510,2341,153,474,6833,11477,18311
2001,0,8452,2371,169,474,5927,11466,17393
2002,0,8120,2115,213,474,5505,10921,16426
2003,0,8226,2281,163,474,5181,11143,16324
2004,0,8163,2028,254,474,5266,10918,16183
2005,0,7828,1999,184,474,5414,10485,15899
2006,0,8415,2210,192,474,5859,11291,17150
2007,0,8332,2303,169,474,6053,11278,17331
2008,0,8256,2341,219,474,6460,11290,17750
2009,0,8257,2449,215,474,5859,11395,17254
2010,0,8321,2310,194,474,5414,11299,16714
2011,0,8250,2449,169,474,5834,11342,17176
2012,0,8538,2417,216,474,5810,11644,17454
2013,0,8398,2569,223,444,5360,11635,16994
2014,0,8295,2582,230,533,6168,11640,17808
2015,0,8143,2768,211,491,5753,11612,17366
2016,0,8262,2919,241,383,4766,11806,16572
2017,0,8486,2948,283,436,5265,12153,17418
2018,0,9193,2932,244,499,5910,12867,18777
2019,0,9129,3028,245,504,5962,12907,18868
2020,0,8460,3015,197,571,6490,12244,18734
2021,0,8282,2916,175,451,5355,11824,17179
2022,0,8137,2913,159,423,5078,11632,16710
2023,0,7973,2859,137,597,6657,11566,18223
