År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
1990,0,474,150,64,49,102,737,840
1991,0,461,150,76,49,91,737,827
1992,0,438,150,37,49,95,674,769
1993,0,396,180,38,49,105,664,769
1994,0,381,125,54,49,104,608,712
1995,0,375,164,45,49,106,634,739
1996,0,345,170,22,49,67,586,652
1997,0,340,172,27,49,75,588,663
1998,0,336,137,63,49,77,584,662
1999,0,331,118,46,49,82,544,626
2000,0,327,94,40,49,87,511,598
2001,0,310,100,43,49,79,502,581
2002,0,295,95,43,49,74,481,556
2003,0,297,95,49,49,72,489,561
2004,0,287,86,54,49,72,476,548
2005,0,283,90,48,49,72,470,543
2006,0,295,98,45,49,77,487,565
2007,0,279,91,48,49,79,468,547
2008,0,258,89,55,49,84,452,536
2009,0,248,85,48,49,78,430,508
2010,0,248,91,47,49,73,434,508
2011,0,228,100,41,49,78,418,495
2012,0,269,93,38,49,77,449,527
2013,0,317,94,40,43,71,493,564
2014,0,319,113,22,58,84,511,595
2015,0,311,116,22,54,79,503,582
2016,0,324,109,18,40,64,491,556
2017,0,317,117,25,42,70,502,572
2018,0,328,93,21,47,78,489,567
2019,0,301,108,14,56,81,480,560
2020,0,312,101,15,63,89,491,580
2021,0,308,76,13,48,73,445,519
2022,0,331,76,10,38,68,455,523
2023,0,245,84,9,64,92,402,494
