År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
1990,837,255,405,77,35,1035,1609,2644
1991,786,255,405,66,35,887,1546,2433
1992,734,255,405,64,35,1019,1492,2511
1993,859,255,501,56,35,961,1706,2667
1994,1210,255,563,45,35,808,2107,2915
1995,1523,255,757,46,35,987,2615,3602
1996,1771,246,693,54,35,521,2799,3320
1997,2084,246,701,78,35,681,3144,3825
1998,2355,246,648,60,35,563,3344,3907
1999,2290,246,614,66,35,497,3251,3748
2000,2142,246,548,63,35,619,3034,3653
2001,2043,402,531,51,35,469,3062,3531
2002,2467,400,586,67,35,553,3555,4108
2003,3090,396,574,64,35,539,4158,4696
2004,2940,392,566,78,35,550,4010,4560
2005,3374,388,553,56,35,635,4405,5039
2006,4419,389,565,84,35,514,5491,6006
2007,4406,384,572,82,35,607,5479,6085
2008,4341,385,567,151,35,521,5479,6000
2009,4996,381,580,76,35,536,6069,6605
2010,5087,382,529,66,35,463,6099,6562
2011,5198,383,591,68,35,597,6275,6872
2012,5884,386,520,85,35,547,6909,7457
2013,5886,408,588,85,138,505,7106,7611
2014,6439,408,575,102,127,487,7652,8139
2015,6305,411,581,95,163,566,7556,8122
2016,6115,414,621,98,140,486,7388,7874
2017,6773,412,566,151,181,633,8083,8716
2018,6883,411,575,89,145,502,8102,8604
2019,7201,406,587,85,158,545,8438,8983
2020,7817,406,567,96,216,711,9101,9812
2021,8226,405,590,81,152,522,9454,9975
2022,7844,403,593,155,205,690,9200,9890
2023,8362,399,577,75,163,535,9576,10111
