År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
1990,6523,35542,15188,3873,2313,94780,63439,158218
1991,6137,35091,15188,3665,2313,76634,62395,139028
1992,5752,34452,15188,4361,2313,87542,62066,149608
1993,7149,33222,17915,4195,2313,80792,64795,145587
1994,9507,32420,17386,3139,2313,77277,64765,142043
1995,12127,32403,22173,3059,2313,86441,72076,158516
1996,14025,31391,19708,2989,2313,47370,70427,117797
1997,15875,31184,19247,2975,2313,62560,71594,134155
1998,17836,30978,18970,2544,2313,56979,72642,129621
1999,17666,30773,18210,2375,2313,56832,71337,128169
2000,19364,30567,16915,2581,2313,65817,71741,137557
2001,17958,43636,15960,2505,2313,51175,82373,133548
2002,19801,42895,14254,2730,2313,54208,81993,136201
2003,23835,43014,14738,2629,2313,52855,86529,139384
2004,23553,42969,14697,2608,2313,55294,86142,141436
2005,26215,42947,14530,2360,2313,62121,88366,150487
2006,30936,43573,15508,2331,2313,54096,94661,148757
2007,35133,43493,15735,2512,2313,62569,99186,161756
2008,36628,43396,15760,2517,2313,58988,100614,159602
2009,41858,43371,16278,2261,2313,55973,106081,162054
2010,42028,43540,16002,3094,2313,46601,106977,153579
2011,46134,43530,16301,2581,2313,60500,110860,171360
2012,51466,43762,16330,2210,2313,58118,116081,174199
2013,50472,44517,16577,2568,5888,53079,120022,173101
2014,54726,44570,16999,2380,6441,57366,125116,182482
2015,54543,43761,17784,2448,7363,62749,125899,188648
2016,53579,43830,18020,2339,5892,52339,123660,175999
2017,56944,44543,18488,2577,6930,61593,129481,191074
2018,57149,46163,17571,2597,6368,55973,129848,185821
2019,60572,45806,17913,2527,6250,55423,133069,188492
2020,65198,44218,18580,2593,8106,70924,138695,209619
2021,66835,43822,17383,2368,5735,52005,136142,188147
2022,65344,43162,17655,2969,6490,60985,135619,196605
2023,67297,42609,17852,2093,6833,58829,136683,195512
