År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
1990,435,392,294,0,8,6904,1128,8032
1991,447,392,294,0,8,6062,1140,7202
1992,459,392,294,0,8,6575,1152,7726
1993,521,392,347,0,8,6688,1268,7956
1994,571,392,671,0,8,5150,1641,6791
1995,830,392,711,0,8,5934,1941,7875
1996,962,382,765,0,8,3719,2116,5835
1997,1011,382,765,0,8,4485,2167,6651
1998,1220,382,686,0,8,3222,2296,5518
1999,1461,382,674,0,8,3017,2525,5542
2000,1287,382,671,0,8,4439,2348,6787
2001,2019,1001,527,0,8,3114,3555,6669
2002,1638,999,644,0,8,3747,3289,7037
2003,2090,998,570,0,8,3776,3666,7442
2004,1800,996,581,0,8,3392,3384,6776
2005,2582,995,583,0,8,3807,4167,7975
2006,3129,1001,592,0,8,3276,4731,8007
2007,3329,997,630,0,8,3990,4964,8955
2008,3512,996,665,0,8,2884,5181,8065
2009,3708,997,569,0,8,3135,5282,8416
2010,4034,1002,587,0,8,3065,5632,8697
2011,3877,997,604,0,8,3436,5485,8921
2012,4883,1002,581,28,8,2968,6503,9471
2013,5218,1000,587,30,215,3103,7050,10153
2014,5644,1006,608,34,231,3433,7523,10957
2015,6143,1003,607,51,235,3323,8038,11360
2016,6420,988,616,48,191,2883,8264,11147
2017,7119,1002,602,53,246,3394,9023,12417
2018,6738,998,764,3,193,2679,8697,11376
2019,6657,1017,674,2,229,3122,8581,11703
2020,7184,1026,701,42,341,4354,9294,13648
2021,8121,995,634,54,233,3153,10036,13190
2022,7733,980,660,52,298,4019,9723,13742
2023,8501,981,614,46,253,3397,10395,13792
