År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
1990,206,21,81,0,7,399,316,715
1991,199,21,81,0,7,369,309,678
1992,192,21,81,0,7,416,302,718
1993,207,21,94,0,7,401,329,730
1994,249,21,181,0,7,320,458,778
1995,343,21,215,0,7,376,586,962
1996,395,18,218,1,7,230,639,869
1997,457,18,221,0,7,257,704,961
1998,579,18,202,0,7,207,807,1014
1999,597,18,189,0,7,193,812,1005
2000,578,18,189,0,7,253,793,1046
2001,861,48,157,0,7,189,1073,1263
2002,839,48,183,0,7,220,1078,1298
2003,1024,48,180,0,7,222,1260,1482
2004,931,48,193,0,7,204,1180,1384
2005,1133,49,188,0,7,238,1377,1615
2006,1356,48,187,0,7,198,1598,1795
2007,1348,48,191,0,7,235,1595,1830
2008,1408,48,181,0,7,184,1645,1829
2009,1703,48,208,0,7,192,1966,2158
2010,1730,48,187,0,7,188,1973,2161
2011,1743,48,200,0,7,213,1998,2211
2012,2070,48,167,4,7,186,2296,2482
2013,2179,56,182,4,36,195,2456,2651
2014,2289,56,176,3,38,208,2561,2769
2015,2311,56,174,5,40,205,2586,2791
2016,2317,56,186,4,33,181,2595,2777
2017,2619,56,175,4,44,234,2899,3133
2018,2493,55,189,4,34,185,2775,2960
2019,2667,55,186,0,39,205,2947,3152
2020,2979,55,171,6,58,272,3269,3541
2021,3120,55,170,9,39,202,3393,3595
2022,3057,55,168,82,51,253,3413,3666
2023,3208,55,171,9,42,203,3485,3689
