År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
2013,243067,68835,37328,13780,19521,931362,382531,1313893
2014,263552,68913,37057,12096,21241,982475,402859,1385334
2015,262672,68752,34281,12335,24453,1112091,402493,1514583
2016,258031,69339,31749,12828,19570,919543,391517,1311060
2017,274234,69057,28933,13804,23071,1103130,409099,1512229
2018,275223,69244,27302,13481,21084,981737,406333,1388070
2019,291708,68270,27972,12930,20698,994487,421578,1416065
2020,313984,68494,27089,13219,26886,1286857,449672,1736529
2021,321869,68429,24978,11885,18998,933070,446160,1379230
2022,314687,69454,24087,13202,21632,1113458,443062,1556520
2023,324091,66847,27929,10829,22547,1061732,452242,1513974
