År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
2013,30634,7440,2736,427,2219,83771,43456,127227
2014,27287,7452,2658,475,1903,70543,39775,110318
2015,35708,7468,2442,503,2693,91965,48814,140779
2016,23076,7476,2616,578,2541,93511,36286,129797
2017,35001,7448,2451,625,3080,116708,48606,165313
2018,26073,7440,2425,500,2648,98393,39085,137478
2019,33520,7401,2888,635,2766,105590,47211,152801
2020,30689,7415,2773,531,3825,137695,45234,182929
2021,38030,7412,2403,773,2579,96328,51197,147525
2022,30676,7404,2444,966,3550,131773,45041,176814
2023,39010,7406,2787,742,2935,106023,52880,158903
