År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
1990,3949,7240,3532,966,322,44843,16009,60852
1991,3705,7240,3532,922,322,38006,15721,53727
1992,3462,7240,3532,736,322,44322,15292,59614
1993,4053,7240,4401,684,322,41440,16700,58140
1994,5704,7240,4955,651,322,34798,18872,53670
1995,7183,7240,6598,641,322,42838,21985,64823
1996,8384,7108,6307,724,322,24504,22846,47350
1997,9864,7108,6243,754,322,32749,24292,57041
1998,11136,7108,5647,699,322,27172,24912,52084
1999,10772,7108,5572,642,322,23799,24416,48215
2000,10682,7108,5198,769,322,29541,24079,53620
2001,10297,13622,4471,639,322,22127,29351,51478
2002,12454,13562,4501,947,322,25891,31787,57678
2003,15540,13568,4506,919,322,25240,34856,60096
2004,14775,13549,4480,827,322,26078,33953,60030
2005,17102,13623,4325,746,322,30572,36118,66691
2006,20737,13653,4429,763,322,24425,39904,64329
2007,22553,13611,4593,905,322,29004,41985,70989
2008,23351,13618,4651,901,322,24611,42843,67454
2009,27010,13604,4624,851,322,25353,46411,71764
2010,27680,13622,4585,1255,322,21521,47464,68986
2011,29848,13665,4612,924,322,28530,49372,77901
2012,33725,13637,4565,819,322,26395,53069,79464
2013,33806,14449,4410,1122,1898,24085,55684,79769
2014,36979,14438,4517,926,1737,22865,58598,81463
2015,36212,14076,4574,1007,2239,27177,58107,85283
2016,35119,14008,4635,987,1922,23290,56671,79961
2017,38897,14270,4551,986,2479,30382,61184,91566
2018,39531,14596,4839,1099,1983,24034,62048,86082
2019,41358,14496,4877,1102,2164,25947,63997,89944
2020,44894,14267,4940,1163,2956,33864,68220,102083
2021,47242,14120,4803,1001,2078,24971,69245,94216
2022,45046,13870,4911,1627,2816,33060,68271,101330
2023,48027,13735,4692,778,2231,25672,69463,95135
