År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
1990,0,6561,2421,1850,594,5844,11427,17270
1991,0,6429,2421,1672,594,4774,11116,15891
1992,0,6241,2421,2818,594,4960,12074,17034
1993,0,5877,2481,2809,594,5455,11762,17217
1994,0,5640,2454,1463,594,6048,10152,16200
1995,0,5637,2765,1390,594,6119,10387,16506
1996,0,5356,2508,1483,594,3659,9942,13601
1997,0,5284,2401,1473,594,4467,9753,14220
1998,0,5213,2494,1189,594,4994,9491,14484
1999,0,5141,2357,1020,594,5332,9113,14445
2000,0,5069,2210,1067,594,5984,8941,14925
2001,0,4929,2417,983,594,5976,8923,14899
2002,0,4761,2062,843,594,4789,8260,13049
2003,0,4773,2180,904,594,4804,8452,13256
2004,0,4777,2214,904,594,5027,8490,13517
2005,0,4909,2394,857,594,4435,8754,13188
2006,0,4902,2428,819,594,4807,8744,13551
2007,0,4911,2426,894,594,5449,8825,14274
2008,0,4885,2462,878,594,5855,8819,14674
2009,0,4887,2614,657,594,5187,8753,13940
2010,0,4913,2511,1109,594,4820,9128,13947
2011,0,4882,2513,949,594,5205,8939,14144
2012,0,4951,2572,625,594,5011,8742,13752
2013,0,4731,2617,625,589,5303,8562,13865
2014,0,4758,2713,690,735,6157,8895,15053
2015,0,4637,2718,683,657,5636,8695,14330
2016,0,4667,2880,567,496,4652,8610,13262
2017,0,4852,3250,590,511,4783,9203,13986
2018,0,5189,2850,719,595,5407,9353,14760
2019,0,5117,2940,690,639,5466,9386,14852
2020,0,4802,2978,713,727,6354,9220,15574
2021,0,4866,2933,733,580,5147,9111,14258
2022,0,4866,3047,688,417,4123,9018,13142
2023,0,4755,2947,688,774,6619,9165,15784
