År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
1990,296,30,48,66,8,292,448,740
1991,274,30,48,55,8,248,415,663
1992,252,30,48,40,8,286,377,664
1993,226,30,53,29,8,257,347,603
1994,372,30,127,18,8,217,555,772
1995,476,30,196,22,8,288,732,1020
1996,562,26,176,30,8,142,802,944
1997,641,26,175,47,8,185,898,1082
1998,710,26,153,40,8,149,938,1087
1999,660,26,152,29,8,128,875,1004
2000,613,26,141,26,8,155,814,969
2001,774,67,125,22,8,112,995,1108
2002,696,67,143,33,8,151,946,1098
2003,814,66,148,34,8,143,1070,1213
2004,866,66,149,47,8,145,1136,1281
2005,1079,67,155,22,8,181,1331,1512
2006,1237,67,164,33,8,137,1508,1645
2007,1241,66,161,36,8,166,1512,1678
2008,1331,66,155,35,8,134,1595,1728
2009,1516,66,157,33,8,152,1780,1932
2010,1447,66,137,32,8,115,1689,1804
2011,1457,67,168,37,8,174,1736,1910
2012,1630,67,142,38,8,137,1885,2022
2013,1629,85,162,26,40,140,1942,2082
2014,1771,85,158,38,40,143,2091,2235
2015,1786,84,154,31,49,170,2103,2273
2016,1748,84,171,25,36,125,2065,2190
2017,1986,84,155,20,48,166,2294,2460
2018,1959,84,151,24,38,134,2257,2391
2019,2281,84,154,22,42,143,2582,2725
2020,2414,84,152,27,59,189,2737,2925
2021,2553,84,155,27,39,126,2858,2985
2022,2543,84,153,104,55,181,2939,3120
2023,2595,84,146,26,41,134,2892,3026
