År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
2013,42659,8090,6451,1943,1391,194610,60534,255144
2014,55815,8103,5206,1929,1101,156864,72154,229019
2015,41655,8162,5658,1944,1606,234238,59026,293264
2016,48904,8281,3591,2174,1426,194561,64375,258936
2017,41681,8247,2739,2582,1935,261032,57182,318214
2018,57589,8189,2926,3006,1407,195244,73116,268361
2019,46232,8078,2876,3160,1617,214345,61963,276308
2020,59051,8031,2714,3050,2008,279247,74854,354101
2021,52311,8008,2919,2400,1610,213943,67248,281191
2022,55013,7991,2646,2787,2175,286645,70612,357257
2023,54301,7820,3450,2038,1647,214617,69255,283872
