År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
1990,970,870,727,0,65,15993,2633,18626
1991,938,870,727,0,65,14860,2600,17461
1992,905,870,727,0,65,17261,2568,19829
1993,976,870,827,0,65,16252,2739,18991
1994,1172,870,1724,0,65,12834,3831,16665
1995,1614,870,2143,0,65,15261,4693,19954
1996,1863,839,2226,1,65,10202,4996,15198
1997,2155,839,2206,1,65,11230,5267,16497
1998,2737,839,1961,0,65,9123,5603,14726
1999,2805,839,1870,0,65,8541,5579,14120
2000,2864,839,1820,0,65,11200,5589,16789
2001,4308,1882,1533,0,65,8282,7787,16069
2002,4227,1878,1573,0,65,9566,7744,17310
2003,5163,1878,1516,0,65,9600,8623,18223
2004,4707,1875,1545,0,65,8914,8192,17106
2005,5794,1873,1499,0,65,10575,9231,19806
2006,6360,1882,1513,0,65,8613,9821,18434
2007,6901,1876,1602,0,65,10381,10445,20826
2008,7580,1875,1670,0,65,8056,11190,19245
2009,9238,1876,1564,0,65,8312,12743,21055
2010,9436,1881,1550,0,65,8171,12932,21103
2011,10020,1874,1578,0,65,9361,13537,22898
2012,11870,1882,1555,35,65,8191,15409,23600
2013,12512,2120,1301,36,488,8603,16457,25060
2014,13143,2129,1318,37,511,9125,17138,26263
2015,13272,2104,1323,58,547,9014,17304,26318
2016,13308,2079,1324,57,442,8085,17210,25294
2017,15043,2110,1313,60,592,10442,19118,29560
2018,14317,2116,1691,96,463,8272,18683,26954
2019,15314,2133,1624,12,531,9082,19614,28697
2020,17112,2133,1599,65,780,12116,21688,33804
2021,17920,2081,1522,103,527,9094,22154,31248
2022,17554,2048,1584,662,694,11361,22542,33904
2023,18424,2058,1457,82,567,9239,22587,31826
