År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
2013,19325,500,732,1,284,62555,20841,83396
2014,18816,498,734,0,288,64041,20336,84377
2015,18052,498,585,1,272,61375,19408,80783
2016,17880,498,638,1,267,60143,19284,79427
2017,21438,499,545,1,361,81544,22843,104387
2018,20078,500,537,53,277,64151,21445,85596
2019,24281,499,568,63,293,66214,25704,91918
2020,25096,500,558,60,368,85641,26582,112223
2021,27450,498,538,47,306,68507,28839,97346
2022,23677,498,509,57,343,81857,25085,106942
2023,25271,497,604,47,262,65632,26680,92312
