År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
2013,0,2662,2692,6199,1244,98848,12797,111645
2014,0,2711,3115,5782,1494,116613,13102,129714
2015,0,2592,3451,5560,1374,108362,12977,121339
2016,0,2818,3039,5201,1073,87074,12131,99205
2017,0,2671,2811,5879,1221,96847,12582,109429
2018,0,2875,2367,5138,1395,108915,11775,120690
2019,0,2423,2738,4524,1412,110800,11098,121897
2020,0,2564,2336,4720,1600,123264,11219,134483
2021,0,2509,2096,4498,1261,99649,10364,110013
2022,0,3347,1998,4279,1183,94109,10807,104916
2023,0,1726,2579,3618,1670,127788,9593,137381
