År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
2013,2860,3140,1561,1059,1407,93046,10027,103073
2014,3342,3134,1511,1036,2036,132944,11059,144003
2015,3529,3132,1462,1036,1818,118577,10976,129554
2016,3609,3134,1392,1297,1425,92824,10857,103680
2017,2524,3136,1561,1222,1534,100435,9978,110413
2018,3859,3120,1358,1324,1478,97098,11139,108237
2019,2826,3112,1327,1478,1483,97761,10226,107986
2020,4413,3112,1125,1424,2000,128107,12075,140181
2021,2033,3120,1164,969,1215,80379,8502,88880
2022,4722,3123,1178,609,1241,81635,10872,92507
2023,2300,3123,1154,1198,1689,110743,9464,120207
