År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
1990,2068,1641,1756,198,629,21288,6293,27581
1991,1988,1641,1756,124,629,15367,6139,21505
1992,1907,1641,1756,83,629,18402,6017,24420
1993,2561,1641,2010,83,629,14622,6925,21546
1994,3154,1641,2128,82,629,15451,7634,23085
1995,4188,1641,2300,84,629,16753,8843,25596
1996,4724,1775,1971,0,629,6976,9098,16074
1997,4981,1775,1928,0,629,10206,9312,19518
1998,5411,1775,2538,0,629,9392,10353,19745
1999,5564,1775,2478,0,629,10582,10445,21027
2000,6103,1775,2323,0,629,11152,10829,21981
2001,6176,7461,1971,42,629,7358,16279,23638
2002,5727,7459,1903,42,629,8588,15759,24347
2003,6510,7457,1925,40,629,8485,16561,25045
2004,6709,7493,1928,87,629,9144,16847,25991
2005,6756,7501,2003,81,629,11895,16971,28865
2006,7935,7484,2096,72,629,9054,18216,27270
2007,9717,7498,2139,71,629,11508,20054,31562
2008,10133,7507,2127,87,629,10207,20482,30689
2009,11257,7519,2240,84,629,9257,21730,30987
2010,10976,7536,2191,63,629,6997,21396,28393
2011,12688,7562,2256,62,629,10612,23198,33810
2012,13837,7452,2258,122,629,10385,24299,34684
2013,12939,7365,2283,154,1575,8731,24317,33047
2014,13803,7408,2259,104,1645,9622,25219,34841
2015,14202,7380,2479,111,2163,11841,26335,38176
2016,14097,7408,2288,145,1732,9789,25671,35460
2017,14202,7398,2309,146,1944,10369,26000,36369
2018,13512,7445,2324,144,1812,10354,25236,35591
2019,14648,7411,2322,138,1488,8343,26007,34350
2020,15585,7316,2611,107,1936,11226,27555,38781
2021,14660,7303,2297,127,1322,7809,25710,33519
2022,15263,7283,2433,147,1610,9707,26735,36442
2023,14397,7239,2654,121,1559,9013,25971,34984
