År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
2013,62315,19084,7484,726,5378,128068,94987,223055
2014,66473,19091,7493,734,5605,140124,99396,239520
2015,68393,19089,6353,948,7372,177730,102155,279885
2016,67889,19090,5774,1027,5901,143598,99680,243278
2017,68394,19080,4505,1029,6628,153808,99636,253444
2018,65071,19075,4556,945,6170,152693,95816,248509
2019,70543,19069,4474,686,5071,121828,99843,221671
2020,75055,19073,4434,835,6591,166793,105990,272782
2021,70602,19079,4218,759,4506,113323,99164,212487
2022,73502,19076,4481,667,5474,142846,103200,246045
2023,69335,19076,4899,663,5314,132139,99288,231427
