År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
1990,82,156,97,43,43,88,421,509
1991,65,156,97,43,43,75,404,479
1992,48,156,97,43,43,87,387,474
1993,68,156,135,50,43,72,451,524
1994,95,156,135,50,43,77,478,555
1995,108,156,199,43,43,78,549,627
1996,128,133,132,45,43,43,481,524
1997,149,133,133,46,43,53,504,557
1998,194,133,103,43,43,52,517,569
1999,202,133,96,44,43,56,518,573
2000,167,133,97,41,43,58,480,539
2001,238,137,95,42,43,41,555,596
2002,258,137,151,45,43,45,634,679
2003,270,137,161,40,43,43,651,694
2004,344,137,132,38,43,46,693,739
2005,379,137,127,36,43,58,721,780
2006,400,138,126,33,43,51,740,791
2007,464,138,132,60,43,59,837,896
2008,495,138,133,70,43,52,879,932
2009,573,138,141,71,43,47,966,1013
2010,551,138,162,80,43,37,974,1012
2011,531,138,154,58,43,49,924,973
2012,566,138,164,54,43,51,964,1015
2013,546,137,160,55,49,43,947,990
2014,566,138,156,58,53,50,971,1021
2015,592,138,149,67,60,58,1006,1064
2016,629,139,189,65,46,47,1068,1115
2017,578,138,184,52,58,54,1010,1064
2018,576,137,247,64,52,50,1076,1125
2019,693,137,214,48,41,41,1133,1175
2020,662,138,217,53,59,60,1129,1188
2021,785,139,218,52,42,42,1236,1278
2022,706,140,212,40,44,47,1142,1189
2023,765,140,216,60,49,47,1231,1277
