År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
2013,78943,40290,22827,11191,12933,447011,166184,613195
2014,84148,40350,23923,9432,15212,543417,173066,716482
2015,87114,40125,22154,9405,16677,556596,175474,732070
2016,87622,40590,21250,9482,12898,442184,171840,614024
2017,85588,40368,19725,9876,14482,478890,170039,648929
2018,83809,40629,17834,9375,14204,493200,165851,659051
2019,91362,39819,17583,8615,13205,463884,170584,634468
2020,96327,40055,17320,8892,16626,583658,179221,762879
2021,93375,40026,15638,8070,11796,419019,168905,587925
2022,95517,41081,14962,7347,11889,426357,170796,597153
2023,91358,38651,17473,7246,14811,530495,169539,700034
