År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
1990,239,53,115,0,19,162,426,588
1991,221,53,115,0,19,124,408,533
1992,203,53,115,0,19,148,391,539
1993,266,53,159,2,19,134,500,634
1994,390,53,144,1,19,124,608,732
1995,460,53,197,1,19,147,731,879
1996,501,48,171,1,19,68,741,809
1997,571,48,174,5,19,105,817,922
1998,650,48,152,3,19,88,873,961
1999,657,48,149,8,19,78,882,960
2000,639,48,145,8,19,96,860,956
2001,102,96,123,9,19,66,349,415
2002,562,96,149,10,19,80,836,916
2003,716,96,143,13,19,74,988,1062
2004,680,96,139,14,19,84,948,1032
2005,678,96,131,14,19,98,938,1035
2006,967,95,134,29,19,77,1244,1321
2007,924,96,135,21,19,97,1194,1292
2008,839,96,140,19,19,94,1114,1208
2009,946,96,138,12,19,79,1211,1291
2010,993,96,125,11,19,69,1244,1312
2011,1014,95,137,9,19,88,1274,1362
2012,1021,96,120,20,19,93,1276,1368
2013,1108,97,141,25,47,70,1417,1487
2014,987,97,142,26,40,61,1293,1353
2015,1291,97,142,21,57,75,1609,1684
2016,834,98,138,13,54,77,1137,1214
2017,1265,97,141,77,65,96,1646,1742
2018,943,97,139,8,56,82,1243,1325
2019,1212,96,149,8,59,88,1524,1612
2020,1110,96,140,10,81,112,1437,1549
2021,1375,96,149,3,55,80,1678,1757
2022,1109,96,155,2,75,109,1437,1546
2023,1410,96,141,4,62,86,1714,1800
