Par,Vassom,År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn
n,4,1995,0.0,263.047,155.7,0.0,3.2611196350657456,69.048
n,4,1996,0.0,260.4063861140263,144.9203544952206,0.0,3.2611196350657456,54.80464411545939
n,4,1997,0.0,259.4148203853269,144.70713963146696,0.0,3.2611196350657456,54.84673336970994
n,4,1998,0.015,258.34700678971666,92.11707194969085,0.0,3.2611196350657456,58.57768374972335
n,4,1999,0.027,257.35544106101713,84.81842854390462,0.0,3.2611196350657456,69.8615323724108
n,4,2000,0.032175,256.36387533231766,108.80257682480523,0.0,3.2611196350657456,70.52057749412374
n,4,2001,0.06684375,250.84208724076888,115.55079600543,0.0,3.2611196350657456,66.89612433624241
n,4,2002,0.0,248.0961336554027,39.571085500526664,0.0,3.2611196350657456,58.102814258046536
n,4,2003,0.0,246.49424153255745,82.20051514578124,0.0,3.2611196350657456,63.58249403206591
n,4,2004,0.0,244.35861434133696,89.34485568747368,0.0,3.2611196350657456,60.90826029720922
n,4,2005,0.0,238.40921996914017,80.2920127708233,0.0,3.2611196350657456,54.91810392607462
n,4,2006,0.0012596195652173,245.80801073036082,94.8347261676581,0.0,3.2611196350657456,64.10298324803908
n,4,2007,0.0,244.43486220824772,125.09538453536936,0.0,3.2611196350657456,63.24956618341119
n,4,2008,0.0,240.84983862800348,132.28083609694747,0.0,3.2611196350657456,69.58366321443597
n,4,2009,0.0,240.46859929344987,130.63044075019894,0.0,3.2611196350657456,60.14750385804446
n,4,2010,0.0,242.68047435158095,142.3002332551359,0.0,3.2611196350657456,55.171436598613056
n,4,2011,0.0,242.07049141629514,142.2795574192393,0.0,3.2611196350657456,59.67771806410957
n,4,2012,0.0,254.19836722028097,166.7207115955022,0.0,3.2611196350657456,57.61540476954034
n,4,2013,0.0,257.17306440637935,178.53353507845026,0.0,3.2611196350657456,54.44499287830545
n,4,2014,0.0439817769043478,216.72769251655566,183.19437658350114,0.0,3.2611196350657456,64.7899368645672
n,4,2015,0.0759070317217391,246.6659709625365,161.1750780324931,0.0,3.2611196350657456,64.85727159320653
n,4,2016,0.0366339225739131,249.45348306995768,168.89549751878988,0.0,3.2611196350657456,55.88042457920755
n,4,2017,0.0119865391304348,247.87116810213004,180.88853712287252,0.0,3.2611196350657456,57.89360948984847
n,4,2018,0.0,260.1766121367143,227.121112041218,0.0,3.2611196350657456,58.77665654597676
n,4,2019,0.0,256.3271252343022,264.82866456305135,0.0,3.2611196350657456,65.03739024297415
n,4,2020,0.0,259.11017237654386,152.952035008806,0.0,3.2611196350657456,63.811551709750574
n,4,2021,0.0,260.6698190596143,187.661831585969,0.0,3.2611196350657456,57.60565866990448
n,4,2022,0.0,257.51824056063737,168.61117912924715,0.0,3.2611196350657456,53.00513792416537
n,5,1990,0.0,239.434,152.053,0.0,6.813034381155006,55.925
n,5,1991,0.0,234.253,152.053,0.0,6.813034381155006,56.079
n,5,1992,0.0,227.048,152.053,0.0,6.813034381155006,54.876
n,5,1993,0.0,213.412,169.613,0.0,6.813034381155006,54.152
n,5,1994,0.0,204.421,176.203,0.0,6.813034381155006,65.895
n,5,1995,0.0,204.063,162.86,0.0,6.813034381155006,60.885
n,5,1996,0.0,189.8129953645268,162.7773737042066,0.0,6.813034381155006,49.44091683463902
n,5,1997,0.0,189.0902325172945,162.24106710843304,0.0,6.813034381155006,50.32339086473173
n,5,1998,0.0,188.31189178572356,131.18808589284595,0.0,6.813034381155006,54.7023890289782
n,5,1999,0.0,187.5891289384912,118.71486223838545,0.0,6.813034381155006,64.05945746513513
n,5,2000,0.0,186.86636609125887,166.92331936644473,0.0,6.813034381155006,66.26233037660347
n,5,2001,0.0,182.84147579165577,146.64396684457682,0.0,6.813034381155006,61.14404917719856
n,5,2002,0.0,180.83992090297463,55.87466586965522,0.0,6.813034381155006,52.62437781228985
n,5,2003,0.0,179.67228463020302,80.58055119955401,0.0,6.813034381155006,57.82052715264057
n,5,2004,0.0,178.1156031670611,74.33584097367003,0.0,6.813034381155006,54.21584010115605
n,5,2005,0.0,173.77902608366705,74.40756601936816,0.0,6.813034381155006,48.939327482361946
n,5,2006,0.0,179.1720836711555,88.96567997616562,0.0,6.813034381155006,56.95203927914407
n,5,2007,0.0,178.1711810513997,85.92028339057246,0.0,6.813034381155006,54.88378520265036
n,5,2008,0.0,175.55801908416342,75.69856756934357,0.0,6.813034381155006,58.89799452877844
n,5,2009,0.0,175.28012966247042,79.42891766668782,0.0,6.813034381155006,53.774152577327335
n,5,2010,0.0,176.89238900995088,83.2283832130741,0.0,6.813034381155006,49.91581342638666
n,5,2011,0.0,176.447765935242,97.63999010730703,0.0,6.813034381155006,52.969453618863
n,5,2012,0.0,185.28790410587618,103.69089976842636,0.0,6.813034381155006,50.71136670123209
n,5,2013,0.0,187.45619264757318,95.64888633814351,0.0,6.813034381155006,46.42292358751601
n,5,2014,0.0,157.9751292159028,108.58044479096081,0.0,6.813034381155006,52.82680448001396
n,5,2015,0.0,179.79746004538003,91.39997667321687,0.0,6.813034381155006,54.16553070490307
n,5,2016,0.0,181.82930738453402,85.7696415088182,0.0,6.813034381155006,48.04837617407413
n,5,2017,0.0,180.67594110909266,99.67605522683884,0.0,6.813034381155006,46.926866780498
n,5,2018,0.0,189.6455106590199,102.17294477676423,0.0,6.813034381155006,49.011514991015936
n,5,2019,0.0,186.83957855241093,106.6073370133259,0.0,6.813034381155006,57.09791384514123
n,5,2020,0.0,188.86817133077037,100.64512926233313,0.0,6.813034381155006,58.958415258371815
n,5,2021,0.0,190.0050144514084,70.15075905962254,0.0,6.813034381155006,51.28059501595673
n,5,2022,0.0,187.70779523207906,59.903533839423694,0.0,6.813034381155006,44.79802524247233
n,6,1990,0.0,19.748,780.411,6.0,32.68309557892052,69.701
n,6,1991,0.0,19.321,780.411,0.0,32.68309557892052,71.04
n,6,1992,0.0,18.727,780.411,14.0,32.68309557892052,60.976
n,6,1993,0.067,17.602,1082.053,0.0,32.68309557892052,68.703
n,6,1994,0.067,16.86,382.13,0.0,32.68309557892052,83.123
n,6,1995,0.067,16.831,913.632,8.95,32.68309557892052,80.948
n,6,1996,0.067,16.357744673673437,1265.7349340235612,0.0,32.68309557892052,43.97639185815581
n,6,1997,0.067,16.295458263346585,1265.4329970080432,0.1058,32.68309557892052,46.95573284367404
n,6,1998,0.095,16.228382250285904,1192.9780487634066,0.0,32.68309557892052,51.9305974181742
n,6,1999,0.067,16.166095839959056,1170.1828996059992,0.0,32.68309557892052,63.54572978276851
n,6,2000,0.077025,16.1038094296322,911.780222083199,0.0,32.68309557892052,71.4925487323571
n,6,2001,0.0,15.756951577597285,426.0702861466576,0.0,32.68309557892052,59.81339501247085
n,6,2002,0.0,15.58446115481821,374.0993306124398,0.0,32.68309557892052,49.71382488601717
n,6,2003,0.0,15.483836347833648,369.11263864815885,0.0,32.68309557892052,53.32594832728303
n,6,2004,0.0,15.34968432171229,344.37653261229315,17.053,32.68309557892052,52.95236724657677
n,6,2005,0.0,14.975965859751177,349.9083876704103,16.572,32.68309557892052,47.07846026338963
n,6,2006,0.0,15.440729923229194,468.36634130465626,0.0,32.68309557892052,57.36983325604931
n,6,2007,0.0,15.354473924446117,369.01779352775617,0.0,32.68309557892052,52.896103084686814
n,6,2008,0.0,15.129276296807847,355.9720763799372,0.0,32.68309557892052,66.36258094995799
n,6,2009,0.0,15.10532828313871,379.64107637993726,0.0,32.68309557892052,56.98716917203671
n,6,2010,0.0,15.244269911993896,411.4297731370573,0.0,32.68309557892052,48.41129689879052
n,6,2011,0.0,15.205953090123275,483.03763168015905,0.0,32.68309557892052,53.33919702928552
n,6,2012,0.0,15.967780397034069,414.55401345706895,0.0,32.68309557892052,55.99475598892319
n,6,2013,0.0,16.154639628014625,437.4702107372983,0.0,32.68309557892052,48.48797973366276
n,6,2014,0.0,13.614014275164,434.5624654965896,0.0,32.68309557892052,65.3813221036572
n,6,2015,0.0,15.494623741378307,388.7789252786558,0.0,32.68309557892052,62.83528027825032
n,6,2016,0.0,15.669724713395183,384.2789252786558,9.0,32.68309557892052,48.80044076504496
n,6,2017,0.0,15.570329669274713,402.73072415557914,11.6,32.68309557892052,49.87610011910888
n,6,2018,0.0,16.343311141110686,392.26216998450764,21.8,32.68309557892052,50.74039224060375
n,6,2019,0.0,16.101500927413642,457.81632676647644,23.52,32.68309557892052,64.18042096236296
n,6,2020,0.0,16.276321427198365,538.3328696255518,17.6,32.68309557892052,72.94452992268181
n,6,2021,0.0,16.37429253537094,304.92584042555177,18.5,32.68309557892052,58.136016459122295
n,6,2022,0.0,16.176322289039394,272.42874743617483,81.45,32.68309557892052,45.1934950856032
n,7,1990,0.0,21.095,10.217,14.0,7.694500082151582,41.131
n,7,1991,0.0,20.639,10.217,14.8,7.694500082151582,40.496
n,7,1992,0.0,20.004,10.217,14.4,7.694500082151582,34.426
n,7,1993,0.0,18.803,11.806,14.4,7.694500082151582,40.013
n,7,1994,0.0,18.01,10.85,14.4,7.694500082151582,48.046
n,7,1995,0.0,17.979,10.916,14.4,7.694500082151582,50.424
n,7,1996,0.0,17.528368287094157,2.93962955180602,0.0,7.694500082151582,29.78000425255808
n,7,1997,0.0,17.461624419814743,2.571645009203587,0.0,7.694500082151582,32.78991020584077
n,7,1998,0.0,17.389748187264804,3.1327347160457437,0.0,7.694500082151582,35.44310326136789
n,7,1999,0.0,17.323004319985394,2.4156075772276555,0.0,7.694500082151582,44.743162465465545
n,7,2000,0.0,17.25626045270598,3.070227256958991,0.0,7.694500082151582,50.71460717609415
n,7,2001,0.0,16.884580108316978,2.383201169253605,0.0,7.694500082151582,42.64604956597822
n,7,2002,0.0,16.69974560229035,3.5331787470512794,0.0,7.694500082151582,34.037349067749005
n,7,2003,0.0,16.591919694084197,1.3742034512680565,0.0,7.694500082151582,37.37199689071724
n,7,2004,0.0,16.448167228984307,1.493631348211192,0.0,7.694500082151582,35.17354870959337
n,7,2005,0.0,16.047704025307855,1.7071128488389236,0.0,7.694500082151582,31.519165156317403
n,7,2006,0.0,16.545728406649395,1.916268702516173,0.0,7.694500082151582,40.89867903683516
n,7,2007,0.0,16.45329959425484,2.0278257372753394,0.0,7.694500082151582,39.013302186701935
n,7,2008,0.0,16.21198595148987,2.047231711251429,0.0,7.694500082151582,51.0826058227748
n,7,2009,0.0,16.1863241251372,2.064226111251429,0.0,7.694500082151582,42.898318829503694
n,7,2010,0.0,16.33520895550762,2.064226111251429,0.0,7.694500082151582,35.7327355065552
n,7,2011,0.0,16.29415003334336,2.0913533195078178,0.0,7.694500082151582,40.18591832136792
n,7,2012,0.0,17.110496655270353,1.5821995864844542,0.0,7.694500082151582,43.54700503633773
n,7,2013,0.0,17.310728257108575,1.580201394457949,0.0,7.694500082151582,36.141933261186914
n,7,2014,0.0,14.588285906240557,1.1719872515782186,0.0,7.694500082151582,51.77826542656362
n,7,2015,0.0,16.60347907532413,1.0176249418762158,0.0,7.694500082151582,50.25948124088365
n,7,2016,0.0,16.791110951610825,0.9967137042579748,0.0,7.694500082151582,38.51668429079332
n,7,2017,0.0,16.684602812866025,0.995968275498508,0.0,7.694500082151582,36.56331952357479
n,7,2018,0.0,17.512901834995116,1.1072076137352285,0.0,7.694500082151582,38.22467653364847
n,7,2019,0.0,17.253786745120635,2.0482544514545733,0.0,7.694500082151582,51.02835126480711
n,7,2020,0.0,17.44111807749509,1.6742886745749177,0.0,7.694500082151582,64.34077100254103
n,7,2021,0.0,17.54610037791622,1.6743608425749177,0.0,7.694500082151582,50.41605342820698
n,7,2022,0.0,17.333962613400857,2.5515748166455596,0.0,7.694500082151582,35.47124200415991
n,8,1990,0.0,119.398,20.332,0.0,14.550750600070485,54.118
n,8,1991,0.0,116.815,20.332,0.0,14.550750600070485,52.624
n,8,1992,0.0,113.222,20.332,0.0,14.550750600070485,46.956
n,8,1993,0.0,106.422,24.879,0.0,14.550750600070485,49.654
n,8,1994,0.0,101.938,25.198,0.0,14.550750600070485,61.07
n,8,1995,0.0,101.76,21.078,0.0,14.550750600070485,61.458
n,8,1996,0.0,98.10258594413146,5.3136306959782695,0.0,14.550750600070485,39.84694512021733
n,8,1997,0.0,97.7290345747868,2.7176250615897333,0.0,14.550750600070485,44.37404263244216
n,8,1998,0.0,97.32675843786522,5.883309309457981,0.0,14.550750600070485,47.81574301803128
n,8,1999,0.0,96.95320706852054,4.951000728262197,0.0,14.550750600070485,59.79193101173906
n,8,2000,0.0,96.57965569917585,4.941229757266245,0.0,14.550750600070485,65.74438735199311
n,8,2001,0.0,94.49943908505928,5.06886372599583,0.0,14.550750600070485,55.98222907193279
n,8,2002,0.0,93.46495927975596,4.92701875476575,0.0,14.550750600070485,46.067912451821776
n,8,2003,0.0,92.86148037895107,5.328777890057889,0.0,14.550750600070485,48.343642175822026
n,8,2004,0.0,92.05692810510791,5.166579826427954,0.0,14.550750600070485,47.06321984660684
n,8,2005,0.0,89.81561988903982,5.129391133906569,0.0,14.550750600070485,38.91664138439821
n,8,2006,0.0,92.60295747075895,5.1238636233779085,0.0,14.550750600070485,51.29246251737706
n,8,2007,0.0,92.08565287268483,5.188213266314507,0.0,14.550750600070485,53.88641640635881
n,8,2008,0.0,90.73507123319058,5.368837572904177,2.88,14.550750600070485,59.38802985013719
n,8,2009,0.0,90.59144739530608,5.3646539802028785,2e-06,14.550750600070485,52.44145700503847
n,8,2010,0.0,91.42472443672615,5.358440898585538,1.002,14.550750600070485,42.84343789320212
n,8,2011,0.0,91.19492629611092,5.365464414885505,0.0,14.550750600070485,49.238539950677385
n,8,2012,0.0,95.7638464218228,5.371770046327405,0.0,14.550750600070485,51.48869238453928
n,8,2013,0.0,96.88450052985684,5.340059503109219,0.0,14.550750600070485,43.50997447375386
n,8,2014,0.0,81.64756402044893,5.21030150523194,0.0,14.550750600070485,58.18279470210828
n,8,2015,0.0,92.92617580142159,4.379680360272869,0.0,14.550750600070485,55.45637624246714
n,8,2016,0.0,93.97631189896282,4.259327428314857,0.0,14.550750600070485,45.55949617192058
n,8,2017,0.0,93.38020827631958,4.273061810088348,0.0,14.550750600070485,39.3788673850438
n,8,2018,0.0,98.01602346886597,5.411067074070344,0.0,14.550750600070485,41.43605609895575
n,8,2019,0.0,96.56581087876715,4.510133687998767,0.0,14.550750600070485,57.30492422247081
n,8,2020,0.0,97.6142648953241,4.14936327183607,0.0,14.550750600070485,64.19390227835856
n,8,2021,0.0,98.20182872220121,3.700145712434837,0.0,14.550750600070485,54.16515437779901
n,8,2022,0.0,97.01453832902256,3.747928317778901,0.0,14.550750600070485,37.66695697690917
n,9,1990,0.0,142.537,828.35,109.0,6.834010467636781,37.323
n,9,1991,0.0,139.657,828.35,130.0,6.834010467636781,41.006
n,9,1992,0.0,135.584,828.35,52.0,6.834010467636781,37.664
n,9,1993,0.0,127.861,1647.747,44.6,6.834010467636781,36.879
n,9,1994,0.0,122.788,770.589,60.4,6.834010467636781,49.529
n,9,1995,0.0,122.614,2118.293,50.9,6.834010467636781,45.596
n,9,1996,0.0,115.41944542311896,848.4260389122758,80.04,6.834010467636781,32.68350760048414
n,9,1997,0.0,114.4265436823054,842.9199712536723,107.8,6.834010467636781,34.74395629798073
n,9,1998,0.0,113.44345442781906,758.5226637120434,96.2,6.834010467636781,40.63444594165652
n,9,1999,0.0,112.4709833332955,807.0740684601839,118.323,6.834010467636781,48.40598823028071
n,9,2000,0.0,111.47808159248191,729.7311809804967,88.71000000000001,6.834010467636781,52.56859405451648
n,9,2001,0.0,104.18842809334731,860.2229450950576,100.5,6.834010467636781,54.06294241822718
n,9,2002,0.0,102.58645869390693,611.9673591166035,76.3,6.834010467636781,42.86808116954778
n,9,2003,0.0,102.87478427099036,582.367808570826,63.8,6.834010467636781,47.30352880176839
n,9,2004,0.0,102.33530049316195,751.7962165302062,60.3,6.834010467636781,44.646433685453694
n,9,2005,0.0,102.73681520243248,806.8695613807854,59.9,6.834010467636781,29.53117195389472
n,9,2006,0.0,103.77868804782958,862.2309442396217,69.0,6.834010467636781,41.77966863284376
n,9,2007,0.0,104.01714551964137,889.1810388451315,73.4,6.834010467636781,41.14456759460384
n,9,2008,0.0,102.86993302183991,854.5319575536702,92.2,6.834010467636781,53.68627027781146
n,9,2009,0.0,103.00071803863578,836.0527784295507,82.7,6.834010467636781,49.67022953172526
n,9,2010,0.0,103.571069016972,791.9639099418367,78.4,6.834010467636781,45.18285019848718
n,9,2011,0.0,103.32385900429206,849.8584191999404,91.0,6.834010467636781,46.11305466292937
n,9,2012,0.0,106.05808557228508,880.1330310799087,100.4,6.834010467636781,44.6436591194358
n,9,2013,0.0,107.58975622016392,931.92462348079,105.0,6.834010467636781,39.44627848171219
n,9,2014,0.0,90.17994104597943,1240.0967749973156,101.6,6.834010467636781,46.753441525950585
n,9,2015,0.0,103.81751040626476,1424.7944212236303,95.3,6.834010467636781,45.3068060563633
n,9,2016,0.0,104.32178118412332,1415.920693099546,98.8,6.834010467636781,37.45057916873085
n,9,2017,0.0,104.23180087868124,1455.588290480559,105.5,6.834010467636781,40.89795214937913
n,9,2018,0.0,107.75292477602557,964.7970518331631,41.6,6.834010467636781,43.32227572057948
n,9,2019,0.0,106.68987548951924,992.1776831162417,27.0,6.834010467636781,53.876388644838926
n,9,2020,0.0,107.23121299256708,847.2944196755343,26.6,6.834010467636781,55.03737505625247
n,9,2021,0.0,107.61135682104957,843.983200034156,19.8,6.834010467636781,45.90798026676589
n,9,2022,0.0,106.90418065560725,774.459071364959,20.7,6.834010467636781,33.85264399180394
n,10,1990,0.0,63.442,5.358,121.0,1.5021222906089473,19.868
n,10,1991,0.0,62.204,5.358,120.0,1.5021222906089473,19.8
n,10,1992,0.0,60.437,5.358,80.259,1.5021222906089473,19.306
n,10,1993,0.0,57.084,6.134,77.509,1.5021222906089473,18.649
n,10,1994,0.0,54.886,14.51,74.3,1.5021222906089473,25.338
n,10,1995,0.0,54.816,19.995,72.95,1.5021222906089473,22.488
n,10,1996,0.0,51.04557098758904,18.182952545722255,4.5,1.5021222906089473,16.818336206357916
n,10,1997,0.0,50.82365156070295,16.900537213136765,4.1,1.5021222906089473,16.948966561194577
n,10,1998,0.0,50.60982447832804,12.266697045349481,4.3,1.5021222906089473,18.96481752830646
