Par,Vassom,År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn
n,1,1990,0.0,653.946,154.036,62.0,5.61284939358146,512.925
n,1,1991,0.0,639.899,154.036,40.0,5.61284939358146,474.674
n,1,1992,0.0,620.24,154.036,4.6,5.61284939358146,474.118
n,1,1993,0.0,582.911,201.734,31.0,5.61284939358146,449.825
n,1,1994,0.0,558.406,153.422,71.6,5.61284939358146,554.214
n,1,1995,0.0,557.427,138.309,75.0,5.61284939358146,534.829
n,1,1996,0.0,427.7241404305787,169.29754990074767,31.0,5.61284939358146,311.787867152795
n,1,1997,0.0,420.2875815443965,152.97250260666704,47.44,5.61284939358146,312.8823741716244
n,1,1998,0.0,412.7740386764045,145.6885651879141,39.2,5.61284939358146,355.6036681219789
n,1,1999,0.0,405.3408321897944,139.54326617487635,53.2,5.61284939358146,459.4544816561249
n,1,2000,0.0,397.7819522937712,127.88527931759396,43.8,5.61284939358146,486.4335011719865
n,1,2001,0.0,388.35778812726403,162.18854087991198,44.04,5.61284939358146,396.9700309090464
n,1,2002,0.0,376.52398479515256,134.6176801031476,44.6,5.61284939358146,341.0382083508552
n,1,2003,0.0,381.0844527506453,139.2015737299641,30.5,5.61284939358146,339.28667577911966
n,1,2004,0.0,375.0267653360514,142.9466698132838,43.0,5.61284939358146,376.1941317546853
n,1,2005,0.0,365.97042882049215,126.89111072776475,55.59,5.61284939358146,342.62799441812564
n,1,2006,0.0,376.67495468970696,155.42533657043037,45.4,5.61284939358146,414.5759016394433
n,1,2007,0.0,368.79781911562776,143.84929262611612,50.15,5.61284939358146,390.23947880756185
n,1,2008,0.0,362.25869753050773,147.01542715173662,64.97,5.61284939358146,448.9061126740289
n,1,2009,0.0,358.03355881101106,168.12538041492115,42.888,5.61284939358146,368.7193413273556
n,1,2010,0.0,366.94666477944503,140.98695610615474,53.728,5.61284939358146,325.6662449542551
n,1,2011,0.0,357.37715651222265,139.51028724407615,33.835,5.61284939358146,384.60257905427903
n,1,2012,0.0,384.630805988752,156.204881223425,45.26,5.61284939358146,390.28010839087534
n,1,2013,0.0,403.1280513349864,156.9737019902014,47.638,5.61284939358146,353.8651037808332
n,1,2014,0.0,321.1261795571418,161.33972777900206,51.071,5.61284939358146,452.5828416592681
n,1,2015,0.0,374.26953652841945,170.9352232344179,53.1,5.61284939358146,428.1191422275848
n,1,2016,0.0,384.9180904997807,202.63674458753775,56.695,5.61284939358146,321.23817975769003
n,1,2017,0.0,389.16587605581816,201.54584134060528,91.088,5.61284939358146,309.4819554586263
n,1,2018,0.0,402.0913125941517,181.633230391946,71.13,5.61284939358146,349.70123430468226
n,1,2019,0.0,387.96114919818166,171.55496015379484,66.6,5.61284939358146,418.11474830853854
n,1,2020,0.0,397.2093929668469,173.69410396823795,51.8,5.61284939358146,413.7391384281958
n,1,2021,0.0,405.3677461628316,186.34867526766388,41.8,5.61284939358146,321.871323054307
n,1,2022,0.0,393.8602001976765,190.1983548497264,31.4,5.61284939358146,294.1369719599165
n,2,1990,0.414,9133.259,2690.907,168.43,82.94840243290916,6198.189
n,2,1991,0.519,8939.207,2690.907,296.759,82.94840243290916,5215.414
n,2,1992,0.625,8664.762,2690.907,162.946,82.94840243290916,5641.308
n,2,1993,0.858,8138.814,2640.425,169.952,82.94840243290916,6507.413
n,2,1994,0.76,7794.7,2664.856,177.443,82.94840243290916,6200.504
n,2,1995,0.945,7784.991,2787.761,246.623,82.94840243290916,6395.032
n,2,1996,1.1928658,7568.142743307846,2835.081518215128,55.265685,82.94840243290916,4158.455508450029
n,2,1997,1.2439728000000003,7475.435243162847,2684.1496374977783,55.22296240000001,82.94840243290916,4988.070319802232
n,2,1998,0.776799744,7383.447427468164,2734.1818286037774,77.1450258,82.94840243290916,5136.107801102934
n,2,1999,1.5564164,7292.393909248352,2616.8766190239035,50.408892,82.94840243290916,5435.408774951597
n,2,2000,1.85852394,7200.054837735977,2336.1153578476624,180.7756564,82.94840243290916,5915.752948765209
n,2,2001,1.5092689062499998,7159.627539797951,2335.4312262547883,206.6042272,82.94840243290916,5151.839413017212
n,2,2002,0.0,6874.0283574520945,2091.944938779597,279.6442986,82.94840243290916,4808.895005955233
n,2,2003,0.0,6964.499854558661,2262.2168315670074,218.90926,82.94840243290916,4510.29008977306
n,2,2004,0.0,6914.212992471358,1993.0956211439584,349.1865164,82.94840243290916,4557.230121569134
n,2,2005,8.01366825,6623.710129809752,1977.5003616501017,212.9038318,82.94840243290916,4723.693335628462
n,2,2006,0.8111950000000001,7140.011476066941,2172.184184305404,243.3240116,82.94840243290916,5074.490195280025
n,2,2007,34.95205436782163,7074.231380818863,2280.878916538597,197.198,82.94840243290916,5275.233590666265
n,2,2008,0.0,7013.658293946043,2318.0158337208686,255.78588254,82.94840243290916,5601.5745147202615
n,2,2009,0.0,7019.448507809232,2411.657337389432,284.77710060000004,82.94840243290916,5113.311911457786
n,2,2010,0.0,7066.511235244181,2291.560256839369,232.7547588,82.94840243290916,4738.163692750907
n,2,2011,0.0,7014.295211772221,2438.202913612431,224.61083618,82.94840243290916,5076.4589139280215
n,2,2012,0.0,7241.265116695041,2388.5799155150626,283.02541174,82.94840243290916,5049.534219305818
n,2,2013,0.0,7412.836092324317,2531.6931148000012,277.39438468000003,82.94840243290916,4682.796984396134
n,2,2014,0.0,6339.555252397011,2570.2342678541627,279.1013256,82.94840243290916,5252.110246714629
n,2,2015,0.0,7042.34882328176,2762.724553940934,158.41052000000002,82.94840243290916,4961.137903883308
n,2,2016,0.0,7133.24023942176,2880.3356522454146,302.9681906,82.94840243290916,4264.735975378527
n,2,2017,0.0,7136.748415391147,2910.9270961558295,313.4906592,82.94840243290916,4659.764509385619
n,2,2018,0.0,7415.575476194793,2902.9391727669936,327.9781934,82.94840243290916,5079.757728545732
n,2,2019,0.0,7299.036539178907,3020.4444048461355,311.9174486,82.94840243290916,5068.5165147211055
n,2,2020,0.0,7364.226048534252,2996.8555759412643,271.4243572,82.94840243290916,5559.094033945996
n,2,2021,0.0,7400.260698447544,2879.209563937943,242.35372534,82.94840243290916,4753.488152964313
n,2,2022,0.0,7317.302877035954,2851.5200514672006,243.0736814,82.94840243290916,4572.302068665119
n,3,1990,0.0,409.042,261.957,51.0,7.902126275144106,197.485
n,3,1991,0.0,400.363,261.957,51.0,7.902126275144106,195.88
n,3,1992,0.0,388.246,261.957,51.147,7.902126275144106,187.306
n,3,1993,0.0,364.83,273.695,19.303,7.902126275144106,186.501
n,3,1994,0.0,349.601,248.292,12.13,7.902126275144106,221.767
n,3,1995,0.0,349.11,299.835,25.16,7.902126275144106,214.169
n,3,1996,0.0,337.6577443577593,305.28198639206977,14.1,7.902126275144106,153.50236636424688
n,3,1997,0.0,329.0541303752982,303.890078566729,12.68,7.902126275144106,154.15547583399658
n,3,1998,0.0,320.45009404665973,230.05569498119027,15.24,7.902126275144106,172.93521228448745
n,3,1999,0.0,311.8464800641987,214.06233000276876,2.39,7.902126275144106,224.60567646678203
n,3,2000,0.0,303.24286608173765,226.30268581099986,11.825,7.902126275144106,227.04585990074568
n,3,2001,0.0,297.195713511865,276.9597544042597,8.69,7.902126275144106,202.77930472510337
n,3,2002,0.0,280.63763162180635,256.09461284386225,3.0,7.902126275144106,168.47869040122595
n,3,2003,0.0,283.88420668847857,243.82460476388707,9.4,7.902126275144106,187.24244342009004
n,3,2004,0.0,281.28677769666973,266.140037034357,14.9,7.902126275144106,182.7227396532641
n,3,2005,0.0,282.7480954709232,242.5250984654496,19.9,7.902126275144106,158.44389701059666
n,3,2006,0.0,291.6764936639046,278.4578836321981,19.9,7.902126275144106,199.03948893387152
n,3,2007,0.0,285.5077053949034,258.29016212637316,20.6,7.902126275144106,183.67142408657503
n,3,2008,0.0,281.61156190719026,262.7634677814579,21.0,7.902126275144106,207.7361303571123
n,3,2009,0.0,278.04020262999774,271.26699641188145,18.0,7.902126275144106,173.17949987203394
n,3,2010,0.0,285.0207402522115,259.05090411251325,16.4,7.902126275144106,162.0416823631648
n,3,2011,0.0,274.14405914228456,270.6855314511199,17.7,7.902126275144106,183.9864673379467
n,3,2012,0.0,294.92306873057674,300.12033752589974,0.0,7.902126275144106,179.11058121774911
n,3,2013,0.0,311.31896968846394,301.50757675804505,0.0,7.902126275144106,166.88473970583615
n,3,2014,0.0,244.77452830303486,295.1092567510205,0.0,7.902126275144106,215.565639729798
n,3,2015,0.0,293.0681243188655,303.0138123683283,0.0,7.902126275144106,211.6562502998488
n,3,2016,0.0,299.5912610308145,312.80507881910927,0.0,7.902126275144106,166.05014600432446
n,3,2017,0.0,306.6245919252193,317.80690569266574,0.0,7.902126275144106,168.94977588617058
n,3,2018,0.0,317.18028994022353,313.159868790205,0.0,7.902126275144106,172.22209896138557
n,3,2019,0.0,298.0598337910911,311.3659913210762,0.0,7.902126275144106,202.5621749624788
n,3,2020,0.0,309.6042442076927,314.7160322973479,0.0,7.902126275144106,187.09568379363375
n,3,2021,0.0,315.7671196302086,315.5075398173297,0.0,7.902126275144106,163.67588138241047
n,3,2022,0.0,300.384004806038,326.5722736947351,0.0,7.902126275144106,143.48882222988473
n,4,1990,0.0,308.641,118.767,0.0,3.2611196350657456,63.868
n,4,1991,0.0,301.963,118.767,0.0,3.2611196350657456,63.785
n,4,1992,0.0,292.675,118.767,0.0,3.2611196350657456,62.086
n,4,1993,0.0,275.098,160.498,0.0,3.2611196350657456,60.946
n,4,1994,0.0,263.508,124.014,0.0,3.2611196350657456,72.771
