Par,Vassom,År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
c,4,2015,0.3405,111.02319774591838,146.4141,0.0,86.879,1867.952352548978,344.6567977459184,2212.6091502948966
c,4,2016,0.1721,97.22523993129178,143.98430000000002,0.0,54.762,1177.4050341610473,296.1436399312918,1473.548674092339
c,4,2017,0.0577,89.15179595738832,156.99980000000002,0.0,62.004400000000004,1332.74956037957,308.2136959573884,1640.9632563369585
c,4,2018,0.0,100.83126512977829,169.3416,0.0,65.0996,1399.603400174813,335.2724651297783,1734.8758653045913
c,4,2019,0.0,80.69892721478675,143.1954,0.0,87.497,1881.5732399233789,311.39132721478677,2192.964567138166
c,4,2020,0.0,86.35773470603962,125.9417,0.0,83.15960000000001,1787.703787916994,295.45903470603963,2083.1628226230337
c,4,2021,0.0,79.84310590946443,127.0954,0.0,60.9528,1310.7027388460624,267.89130590946445,1578.5940447555267
c,4,2022,0.0,36.66615678141958,136.7447,0.0,44.5375,956.9397104396658,217.94835678141956,1174.8880672210853
c,4,2023,0.0,16.568516861839786,166.86149999999998,0.0,92.22210000000001,1982.4346687627008,275.6521168618398,2258.0867856245404
c,5,2013,0.0,30.329770247556006,180.0386950151492,0.0,73.13518584250231,934.4720154963904,283.5036511052075,1217.9756666015978
c,5,2014,0.0,33.48678632374649,197.8354363444162,0.0,110.02402634990347,1405.344732806031,341.34624901806615,1746.6909818240972
c,5,2015,0.0,29.05790124466834,163.49131513150238,0.0,117.66183374724444,1503.080584658187,310.21105012341513,1813.2916347816022
c,5,2016,0.0,37.51084151576002,160.65479157045405,0.0,82.50266518155814,1053.9450321720883,280.66829826777223,1334.6133304398604
c,5,2017,0.0,31.31340156535084,169.25411804634277,0.0,75.99812276924682,970.6137142150139,276.5656423809404,1247.1793565959542
c,5,2018,0.0,35.53521132544954,140.4559228115848,0.0,88.09801890325461,1125.3201671751008,264.089153040289,1389.4093202153897
c,5,2019,0.0,35.32602147920533,182.61014200788475,0.0,134.56704703142645,1719.1801137197883,352.50321051851654,2071.683324238305
c,5,2020,0.0,39.117661001393216,127.02556903268052,0.0,145.25312721528974,1855.780987334351,311.39635724936346,2167.1773445837143
c,5,2021,0.0,30.369081776883064,103.71495207671254,0.0,101.10869133227725,1291.4456539497028,235.19272518587286,1526.6383791355756
c,5,2022,0.0,21.886557798801967,79.84044014591251,0.0,63.752485535361274,814.5663953483502,165.47948348007574,980.0458788284259
c,5,2023,0.0,24.638643570484643,150.08134383753298,0.0,134.33284070571165,1716.230438203259,309.0528281137293,2025.2832663169881
c,6,2013,0.0,1.496100716610832,561.0621979974741,0.0,259.39394965568357,1291.424646715786,821.9522483697685,2113.3768950855547
c,6,2014,0.0,0.5068332714915093,952.2328138019403,0.0,400.8457809246531,1996.1999440881489,1353.585427998085,3349.785372086234
c,6,2015,0.0,0.6952888034972318,477.5921212795541,0.0,379.64235982619425,1889.963681028355,857.9297699092456,2747.8934509376004
c,6,2016,0.0,0.6732785619703077,424.8113944178999,0.0,262.0631921277204,1304.5830393438007,687.5478651075907,1992.1309044513914
c,6,2017,0.0,0.5635224206117838,401.71319689264243,0.0,271.0476015986028,1349.4257765850232,673.3243209118571,2022.7500974968802
