Par,Vassom,År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
c,1,2013,0.0,6.994615833962286,222.27197292862712,444.0,63.091985203287145,7297.738995210817,736.3585739658765,8034.0975691766935
c,1,2014,0.0,7.46027875385816,247.72724173802192,553.6,94.14096551821432,10437.922633738786,902.9284860100944,11340.85111974888
c,1,2015,0.0,6.678406571161009,228.86517582800025,543.6,86.44373833329654,9660.041039297217,865.5873207324578,10525.628360029676
c,1,2016,0.0,6.997184252679879,349.1068644688397,411.0,52.8514312522097,6259.117019739693,819.9554799737293,7079.072499713422
c,1,2017,0.0,8.02244896205587,346.0650397618515,877.6,49.15614363323862,5885.895221821995,1280.843632357146,7166.738854179141
c,1,2018,0.0,8.226348233050471,98.58831694698782,553.8,61.78845040630886,7165.007376524647,722.4031155863471,7887.410492110994
c,1,2019,0.0,4.702461716869128,106.77160564377219,382.6,83.28434698808377,9340.719566815433,577.3584143487251,9918.077981164159
c,1,2020,0.0,7.43172319552121,96.28681068527976,395.2,81.91989424333113,9202.406450224174,580.8384281241321,9783.244878348307
c,1,2021,0.0,5.959137788169232,83.92899282411602,342.2,53.03722471634179,6279.609353409656,485.125355328627,6764.734708738283
c,1,2022,0.0,10.051434113844092,82.01858006039562,220.2,44.31687786118621,5397.042810704735,356.5868920354259,5753.629702740161
c,1,2023,0.0,3.186663962754299,110.37760105887821,177.2,77.30835444718379,8736.927453164397,368.07261946881624,9105.000072633213
c,2,2013,0.0,2655.3365787317216,2469.8238918404027,5754.749472809174,1180.883695136564,91549.87144843234,12060.793638517864,103610.6650869502
c,2,2014,0.0,2703.463157596368,2867.5361579069995,5228.316714065685,1399.667996982563,106174.58079102178,12198.984026551618,118373.56481757341
c,2,2015,0.0,2585.215933451747,3222.445362062399,5016.272751744639,1287.8390199104272,98701.63187816861,12111.773067169213,110813.40494533782
c,2,2016,0.0,2810.8581641449164,2689.5328834154648,4790.297067509332,1020.4300180179722,80814.96531468822,11311.118133087684,92126.0834477759
